93264	ucdt	Topçu Öldürme Yardım Paylaşımı - Yıldırım
219375	ucdt	Customize your ground vehicle by adding a PS2 Gold Hood Ornament.
274368	ucdt	Mag Yakıcı
436376	ucdt	Kullanıcı'nın aynı anda 3 EMP El Bombası taşımasına izin verir
533205	ucdt	Daum Title 006 Bundle Name
550805	ucdt	2014 ServerSmash Champion Zırh Çıkartması
695549	ugdt	Donanma Zırhı 3
715733	ugdt	Strafe Speed 1
931262	ugdt	Blackheart
1261098	ucdt	2.5x Optik Yakınlaştırma
1280742	ugdt	"8" Hood Ornament
1290857	ugdt	Atv Bumper TR003
1369873	ucdt	Düşük yakıt kapasitesi ile kısa bir süreliğine tırmanma jetleri'nin kullanılmasını sağlar.
1467536	ucdt	Kurtarıcı için boşta bekleme süresini 27 dakika'ya çıkartır.
1468731	ucdt	Mag Yakıcı: Gümüş Madalya
1515325	ugdt	Melee Booster 4 (11118) (DNT)
1517575	ucdt	Could not kick from squad due to bad group ID.
1530486	ucdt	Unlock performance upgrades that increase the braking force of the vehicle.
1640158	ucdt	Yeniden Dolum Hızı 1
1735402	ucdt	Elde Tutulan Süre: %0
1926553	ucdt	Maintain a defensive perimeter around the node!
2000996	ucdt	TR TMG-50 + Cert
2025683	ucdt	Flayer: Altın Madalya
2133224	ucdt	NC's Perfect Shotgun
2250465	ucdt	Adds a cosmetic attachment to your ANT. All factions can use this gear.
2280696	ugdt	Sensör Kalkanı 3
2675904	ucdt	The Honeybadger Araç Çıkartması
2829572	ugdt	kmoyer - test gun
2938536	ucdt	Silahın yeniden dolum hızını 0.2 saniye azaltır.
3073012	ucdt	ÖZEL SİLAH YUVASI ADI
3361867	ucdt	Aracınıza yapıştırılabilir bir çıkartma. Bu çıkartmayı sadece NC kullanabilir.
3421238	ucdt	İt dalaşı gövdesi, ani ve hızlı hareketler için etkilidir. Dönme, yuvarlanma ve çeviklik ile donatılmıştır. (Bir önceki seviyeden daha etkilidir)
3423464	ucdt	Topçu Öldürme Paylaşımı - Drop Pod
3505127	ucdt	Manga Liderliği
3566505	ucdt	SKOR
3916918	ucdt	NS-60 Flamethrower: Bakır Madalya
4234178	ucdt	ACE Tool - Turret: Bakır Madalya
4376735	ucdt	Sıçrama Pedi, yukarı ve aşağı çabucak hareket etmenizi sağlar. Üzerine gelindiğinde, akan parçacıkların yönü doğrultusunda yükselir veya alçalırsınız.
4377775	ucdt	Amerish Scrub Araç Kamuflajı
4387352	ugdt	Static Arctic Silah Kamuflajı
4392764	ucdt	BÖLGE
4414651	ugdt	Ashtiger Araç Kamuflajı
4573804	ucdt	10% Tecrübe Güçlendirmesi
4593374	ucdt	Rütbeleri Yükselt/Düşür
4614870	ucdt	<font color="#7FF4FF">[/re]gionsay </font>- Bulunduğunuz bölgedeki tüm müttefik oyunculara mesaj gönderir. Bulunduğunuz bölge ana ekranda mini haritanın altında belirtilmiştir.
4669484	ucdt	Silahın yeniden dolum hızını 0.5 saniye azaltır.
4720349	ucdt	Perfcirc Kamuflajı
4826084	ucdt	Aracınıza yapıştırılabilir bir çıkartma. Bu çıkartmayı tüm taraflar kullanabilir.
5042024	ucdt	All Access Membership
5404723	ucdt	Sniper: Deal a total of 50,000 damage
5730971	ucdt	Auraksium lifleri ile dokunmuş şenlikli bir mavi şapka.<br><font color="#2af72a">+50% xp when worn</font><br><font color="#FF0000">Bu eşya sadece kış tatiil sezonunda kullanılabilir.</font>
5919759	ucdt	Özgürlüğün 5. Yılı Zırh Çıkartması
5939547	ucdt	Increases the maximum ammo capacity of the weapon by 17 shots.
6081400	ucdt	NC12 Sweeper: Altın Madalya
6256017	ucdt	Kill Marks Araç Çıkartması
6266753	ucdt	Yeniden Dolum Hızı 4
6301696	ugdt	Sivrisinek Death From Above Glass Decal
6329828	ucdt	Gök Muhafızı Silahı
6704529	ucdt	Şok Bombası
7092567	ugdt	TX4 Tyrant
7180888	ugdt	MACS Zırh Çıkartması
7199127	ucdt	Silahın varsayılan cephane kapasitesine toplamda 14 top mermisi ekler.
7376076	ucdt	HOSSİN'İN KURTULUŞU
7396785	ucdt	As you earn <font color="#7FF4FF">EXPERIENCE</font> you will earn <font color="#E88127">CERTIFICATION POINTS</font>
7511375	ugdt	FOG Araç Çıkartması
7734604	ucdt	TEST ARAÇ EŞYASI: Reuse as needed.
7782577	ugdt	Cadet 1 Decal
7970252	ucdt	Title awarded for participating in the January 2015 world record smashing event.
8005190	ucdt	Yağmacı Decal
8059506	ucdt	VS Phaseshift VX-S + Cert
8074851	ucdt	Apply the Indar Scrub camo pattern to your vehicle. All factions can use this gear.
8103574	ucdt	Killing an enemy while wielding a melee weapon restores 200 health. This effect does not trigger on quick melee attacks.
8326486	ucdt	AF-18 Stalker AE: Silver Medal
8514859	ucdt	The NS-11A was designed as a customizable weapon system that could adapt to nearly every situation. This variant features classy flames over a black finish. All factions can use NS weapons.
8580020	ugdt	Sinsi Horn of Liberty
8606739	ucdt	Antares LC: Auraksium Madalyası
8657503	ucdt	Learn about the Terran Republic's quest for order.
8801686	ucdt	Allows the Infiltrator to spot enemy explosives and relay that information to nearby friendly soldiers.
8804133	ugdt	Daum Title 5
8834800	ucdt	Bravo Mangası Yol İşareti
8936270	ucdt	Get a selection of Valkyrie weapons and cosmetics at a discounted price!
9171317	ucdt	Kapı kilidini ele geçirmek için [%s] tuşuna basın
9175067	ucdt	Hafif Taarruz: Kill 250 enemy infantry
9206774	ucdt	Mühimmat Paketi: Altın Madalya
9566403	ugdt	Esamir Hearts Zırh Kamuflajı
9740375	ucdt	Blackshard Iridium Mine
9827891	ucdt	EREOF
9857909	ucdt	Cephane Kapasitesi 4
9917213	ucdt	Süvari'nin edinim süresini 720 saniye azaltır.
9961268	ucdt	Raven: Auraksium Madalyası
10016439	ucdt	Bomb Hood Ornament
10036557	ugdt	Kokpit: Cyan Metallic Decal
10206614	ucdt	Ursa: Auraksium Madalyası
10220348	ucdt	VS Gruff Ses Paketi
10445747	ucdt	CQQC
10532064	ugdt	PS1 Hood Ornament
10583549	ucdt	Hubcaps 003 (DNT)
10727597	ucdt	Korna
